Malpasset Geometry 
Point Number X (m)     Y (m)      Z (m)
     187   6245.00   4358.43     35.16
     188   6239.50   4349.76     31.98
     189   6234.27   4342.30     30.64
     190   6229.33   4336.06     30.35
     191   6261.88   4361.72     35.50
     192   6257.82   4352.87     32.47
     193   6253.75   4344.04     32.13
     194   6249.67   4335.21     31.62
     195   6245.57   4326.39     33.46
     196   6272.99   4355.11     32.70
     197   6270.20   4345.51     32.57
     198   6267.41   4335.91     33.29
     199   6264.61   4326.32     32.04
     200   6261.81   4316.73     30.02
     201   6284.10   4348.51     34.47
     202   6282.58   4338.15     32.16
     203   6281.07   4327.79     31.81
     204   6279.56   4317.43     33.94
     205   6278.04   4307.07     31.09
     206   5822.38   4706.28     66.82
     207   6408.70   4565.40     67.79
     208   6031.94   4547.15     70.00
     209   5902.74   4594.92     70.00
     210   5905.62   4695.96     70.00
     211   6167.14   4050.13     70.00
     212   5757.20   4082.42     69.94
     213   5784.26   4001.51     79.53
     214   5996.09   4015.11     70.47
     215   5766.58   4427.73     37.31
     216   5771.61   4452.86     39.58
     217   5776.72   4478.36     40.00
     218   5781.94   4504.39     47.50
     219   5787.28   4531.08     49.71
     220   5792.78   4558.53     50.10
     221   5798.44   4586.79     50.48
     222   5804.26   4615.83     54.90
     223   5810.21   4645.55     58.90
     224   5816.27   4675.78     60.97
     225   6394.42   4540.54     60.00
     226   6380.14   4515.69     60.00
     227   6365.86   4490.83     50.47
     228   6351.58   4465.98     50.17
     229   6337.50   4441.47     50.63
     230   6324.54   4418.90     50.00
     231   6313.58   4399.82     49.33
     232   6304.57   4384.15     40.36
     233   6297.02   4371.00     39.34
     234   6290.35   4359.39     35.73
     235   6060.93   4548.55     69.91
     236   6089.91   4549.95     66.94
     237   6118.89   4551.36     60.00
     238   6147.87   4552.76     52.75
     239   6176.85   4554.17     40.18
     240   6205.83   4555.57     40.00
     241   6234.81   4556.97     44.83
     242   6263.79   4558.38     52.73
     243   6292.77   4559.78     59.97
     244   6321.75   4561.19     64.79
     245   6350.73   4562.59     69.82
     246   6379.72   4563.99     69.49
     247   5928.58   4585.37     70.00
     248   5954.42   4575.81     70.00
     249   5980.26   4566.26     70.00
     250   6006.10   4556.70     70.00
     251   5904.66   4662.28     70.00
     252   5903.70   4628.60     70.00
     253   5850.12   4702.84     70.00
     254   5877.87   4699.40     70.00
     255   6270.78   4290.25     30.13
     256   6263.17   4272.61     30.67
     257   6254.86   4253.35     33.27
     258   6245.56   4231.82     37.61
     259   6235.21   4207.83     39.74
     260   6224.08   4182.05     40.02
     261   6212.70   4155.67     43.18
     262   6201.31   4129.29     49.13
     263   6189.92   4102.90     51.40
     264   6178.53   4076.52     60.07
     265   5756.43   4113.47     62.83
     266   5755.66   4144.51     59.80
     267   5754.89   4175.55     50.21
     268   5754.12   4206.60     46.75
     269   5753.35   4237.40     40.02
     270   5752.62   4266.68     39.41
     271   5751.97   4292.96     35.61
     272   5751.39   4316.13     31.89
     273   5750.88   4337.01     30.33
     274   5775.24   4028.48     70.00
     275   5766.22   4055.45     70.00
     276   5965.83   4013.17     73.32
     277   5935.57   4011.23     82.75
     278   5905.30   4009.28     90.00
     279   5875.04   4007.34     90.00
     280   5844.78   4005.40     89.82
     281   5814.52   4003.45     74.39
     282   6138.63   4044.30     70.00
     283   6110.13   4038.46     70.00
     284   6081.62   4032.62     70.00
     285   6053.11   4026.79     70.00
     286   6024.60   4020.95     70.00
     287   5878.87   4582.59     70.00
     288   5849.41   4568.31     61.49
     289   5818.62   4565.94     60.00
     290   6161.93   4529.22     49.73
     291   6175.39   4504.86     41.28
     292   6186.03   4480.82     40.00
     293   6196.44   4460.43     40.00
     294   6208.29   4443.11     39.72
     295   6218.74   4426.06     39.54
     296   6227.81   4409.34     38.06
     297   6235.05   4394.32     37.17
     298   6244.84   4381.56     36.39
     299   5891.05   4399.48     36.41
     300   5903.77   4413.27     37.22
     301   5917.72   4425.86     38.66
     302   5930.87   4439.13     39.85
     303   5943.81   4454.18     43.22
     304   5957.72   4469.88     50.06
     305   5972.34   4485.75     59.52
     306   5991.42   4505.83     67.26
     307   6014.50   4529.60     70.00
     308   6198.85   4426.05     39.28
     309   6189.87   4410.01     37.44
     310   6181.14   4394.43     36.65
     311   6173.02   4379.03     36.09
     312   6146.97   4505.64     50.40
     313   6132.70   4483.45     49.92
     314   6119.70   4462.62     43.09
     315   6108.09   4442.83     39.97
     316   6097.59   4423.62     39.58
     317   6087.77   4404.99     38.59
