Malpasset Geometry 
Point Number X (m)     Y (m)      Z (m)
    3777   6340.04   4652.58     70.00
    3778   6305.08   4655.12     69.81
    3779   6325.50   4684.62     70.00
    3780   6288.85   4688.32     70.00
    3781   6310.30   4718.29     70.00
    3782   6321.02   4623.05     70.00
    3783   6250.10   4627.24     53.24
    3784   6217.77   4578.10     40.08
    3785   6243.22   4577.11     49.95
    3786   5387.99   3979.55    100.00
    3787   5463.39   3942.20     98.60
    3788   5512.93   3867.19    100.00
    3789   5571.67   3996.26     99.98
    3790   5647.32   4024.72     92.58
    3791   5359.08   3973.85    100.00
    3792   5330.97   3968.30     99.76
    3793   5304.26   3963.02     97.07
    3794   5279.24   3958.08     95.21
    3795   5255.90   3953.47     93.99
    3796   5234.05   3949.16     92.75
    3797   5213.35   3945.07     93.26
    3798   5193.44   3941.14     93.50
    3799   5438.26   3954.65     99.58
    3800   5413.12   3967.10     99.99
    3801   5496.42   3892.19    100.00
    3802   5479.91   3917.20    100.00
    3803   5559.92   3970.45    100.00
    3804   5548.17   3944.64    100.00
    3805   5536.43   3918.82    100.00
    3806   5524.68   3893.01     99.72
    3807   5622.10   4015.23    100.00
    3808   5596.89   4005.75     99.98
    3809   5756.87   4006.15     82.94
    3810   5729.48   4010.79     89.26
    3811   5702.10   4015.43     90.30
    3812   5674.71   4020.08     90.72
    3813   5550.55   4018.57     89.16
    3814   5531.64   4038.80     77.98
    3815   5513.66   4058.34     69.02
    3816   5496.94   4077.34     60.12
    3817   5481.81   4095.21     50.60
    3818   5467.59   4111.62     44.34
    3819   5453.90   4127.04     40.38
    3820   5440.97   4142.01     38.87
    3821   5488.62   4116.39     49.24
    3822   5493.92   4137.16     41.45
    3823   5497.94   4157.19     40.82
    3824   5514.30   4144.35     48.66
    3825   5531.94   4130.74     57.90
    3826   5551.96   4115.84     60.63
    3827   5575.19   4097.34     68.44
    3828   5586.08   4074.39     73.54
    3829   5605.64   4062.85     78.35
    3830   5631.92   4047.39     80.78
    3831   5737.75   4062.58     72.60
    3832   5718.72   4039.30     82.11
    3833   5555.28   4217.32     39.89
    3834   5578.74   4209.41     40.47
    3835   5603.07   4202.53     42.01
    3836   5626.92   4196.00     41.91
    3837   5651.36   4189.65     41.80
    3838   5676.65   4180.96     43.51
    3839   5702.39   4169.23     49.97
    3840   5728.83   4156.83     53.71
    3841   5598.15   4303.22     36.49
    3842   5619.28   4309.55     37.10
    3843   5638.87   4313.93     37.02
    3844   5658.09   4318.39     36.92
    3845   5673.99   4324.04     35.85
    3846   5692.06   4320.14     35.18
    3847   5714.37   4325.80     33.41
    3848   5734.52   4330.32     31.87
    3849   5727.80   4187.20     49.22
    3850   5732.65   4279.74     37.35
    3851   5715.20   4265.97     37.72
    3852   5696.73   4251.55     37.67
    3853   5676.18   4238.01     38.58
    3854   5657.68   4229.16     39.33
    3855   5644.75   4213.32     39.99
    3856   5729.25   4305.84     34.86
    3857   5711.91   4288.47     36.92
    3858   5694.16   4274.83     37.35
    3859   5675.26   4261.46     37.52
    3860   5656.36   4248.66     38.01
    3861   5638.83   4234.99     39.19
    3862   5621.42   4219.26     39.99
    3863   5617.00   4242.40     39.29
    3864   5614.17   4266.06     37.65
    3865   5614.52   4288.94     37.48
    3866   5635.77   4257.13     37.74
    3867   5654.47   4271.21     37.49
    3868   5633.78   4279.48     37.48
    3869   5652.03   4295.97     37.22
    3870   5673.64   4284.53     37.35
    3871   5673.67   4306.68     36.68
    3872   5692.24   4297.02     36.68
    3873   5707.97   4307.45     35.50
    3874   5631.70   4297.58     37.33
    3875   5597.94   4226.33     39.91
    3876   5593.86   4250.61     38.99
    3877   5573.57   4233.77     39.73
    3878   5570.41   4257.34     38.44
    3879   5590.07   4277.79     37.42
    3880   5720.81   4242.70     39.55
    3881   5725.91   4216.46     40.66
    3882   5700.63   4198.51     41.08
    3883   5698.76   4226.35     39.96
    3884   5672.29   4210.85     40.00
    3885   5734.93   4258.50     39.40
    3886   5645.77   4333.07     36.52
    3887   5633.77   4348.38     35.74
    3888   5621.62   4363.41     35.56
    3889   5681.87   4338.33     34.65
    3890   5672.32   4354.00     35.45
    3891   5662.52   4372.21     34.24
    3892   5649.11   4388.95     34.82
    3893   5635.15   4400.59     35.12
    3894   5739.13   4347.69     30.32
    3895   5722.09   4349.44     31.22
    3896   5700.34   4341.63     33.35
    3897   5703.31   4362.52     33.25
    3898   5688.31   4353.54     35.16
    3899   5683.69   4371.23     33.86
    3900   5636.08   4411.31     35.05
    3901   5653.31   4352.05     35.59
    3902   5627.28   4382.90     35.34
    3903   5641.27   4367.98     35.44
    3904   5664.23   4336.65     36.37
    3905   5626.34   4329.04     36.59
    3906   5606.09   4324.56     36.11
    3907   5614.30   4344.75     35.77
    3908   5632.19   4172.24     48.09
    3909   5636.79   4148.65     50.20
    3910   5643.26   4125.01     58.00
    3911   5650.06   4098.58     61.62
    3912   5654.77   4070.29     72.42
    3913   5662.86   4044.69     81.58
    3914   5532.84   4188.11     40.50
    3915   5557.87   4191.37     46.13
    3916   5584.70   4185.17     49.02
    3917   5608.72   4178.99     48.08
    3918   5519.04   4167.53     42.44
    3919   5544.25   4168.01     49.19
    3920   5568.34   4166.41     51.71
    3921   5591.47   4162.33     50.49
    3922   5613.97   4155.66     50.23
    3923   5623.62   4106.51     62.19
    3924   5602.89   4089.25     69.10
    3925   5595.93   4139.92     57.81
    3926   5598.65   4115.25     61.09
    3927   5575.58   4126.65     60.00
    3928   5577.18   4147.82     57.57
    3929   5554.58   4143.76     57.93
    3930   5532.82   4150.88     50.98
    3931   5618.70   4131.83     58.39
    3932   5628.15   4079.14     70.10
    3933   5540.96   4205.15     39.92
    3934   5690.31   4042.29     85.56
    3935   5705.33   4070.90     75.45
    3936   5678.14   4063.35     76.59
    3937   5655.36   4164.52     48.45
    3938   5677.89   4153.02     50.93
    3939   5702.54   4138.87     58.55
    3940   5729.73   4125.64     61.16
    3941   5657.28   4142.62     50.18
    3942   5673.11   4121.90     58.08
    3943   5703.30   4106.58     67.76
    3944   5731.62   4093.60     70.00
    3945   5677.45   4088.60     69.28
    3946   5747.38   4033.79     78.94
    3947   5602.61   4034.79     89.29
    3948   5510.17   4122.64     51.44
    3949   5504.46   4100.22     59.06
    3950   5527.78   4106.96     59.93
    3951   5521.46   4082.76     62.93
    3952   5546.69   4089.57     68.42
    3953   5539.24   4064.13     70.46
    3954   5564.48   4070.41     75.65
    3955   5557.50   4044.91     80.53
    3956   5582.20   4052.12     82.17
    3957   5576.90   4025.40     90.27
    3958   5459.85   4145.90     38.96
    3959   5478.70   4150.88     39.17
    3960   5473.76   4131.50     40.37
    3961   5434.15   4123.49     39.91
    3962   5426.50   4104.39     42.60
    3963   5417.87   4084.02     53.78
    3964   5409.40   4060.55     67.50
    3965   5401.35   4034.45     79.73
    3966   5393.35   4008.03     89.73
    3967   5262.90   3974.69     84.31
    3968   5248.10   3989.45     75.53
    3969   5234.51   4005.34     66.93
    3970   5219.81   4019.49     58.93
    3971   5206.79   4029.39     51.35
    3972   5247.79   4067.72     47.03
    3973   5256.05   4048.91     51.06
    3974   5266.57   4028.50     61.63
    3975   5277.64   4008.27     73.15
    3976   5286.43   3984.46     84.68
    3977   5421.99   4139.03     38.58
    3978   5414.46   4120.73     39.89
    3979   5405.61   4102.23     44.46
    3980   5391.37   4082.28     55.60
    3981   5382.64   4054.90     69.97
    3982   5373.55   4028.25     79.77
    3983   5365.97   4000.78     90.15
    3984   5384.32   4133.95     38.66
    3985   5376.78   4116.02     39.86
    3986   5371.17   4096.72     46.39
    3987   5364.86   4074.33     57.71
    3988   5355.29   4049.53     69.95
    3989   5342.72   4021.83     79.53
    3990   5339.16   3993.17     90.01
    3991   5364.78   4131.15     38.59
    3992   5344.24   4128.38     38.63
    3993   5356.93   4112.33     39.87
    3994   5335.63   4109.52     39.97
    3995   5325.81   4089.80     45.67
    3996   5314.76   4068.91     52.78
    3997   5302.82   4047.87     60.00
    3998   5290.22   4027.69     66.07
    3999   5278.91   4048.14     53.37
    4000   5290.20   4068.52     49.74
    4001   5267.63   4067.34     46.20
    4002   5323.77   4126.09     38.41
    4003   5314.01   4108.38     39.79
    4004   5301.77   4089.40     41.04
    4005   5290.53   4111.34     38.79
    4006   5257.49   4081.28     40.81
    4007   5275.31   4089.48     39.95
    4008   5306.53   4124.12     38.20
    4009   5300.84   4006.86     79.56
    4010   5314.52   4026.47     70.61
    4011   5328.30   4047.50     64.53
    4012   5339.67   4070.37     55.05
    4013   5349.01   4092.18     46.23
    4014   5322.25   4007.09     80.06
    4015   5313.98   3987.15     88.96
    4016   5395.39   4118.77     39.88
    4017   5403.11   4136.48     38.61
    4018   5388.06   4103.21     43.74
    4019   5255.65   4008.97     68.69
    4020   5240.92   4029.05     59.64
    4021   5234.49   4052.70     49.57
    4022   5219.40   4039.44     50.49
    4023   5266.14   3993.17     77.11
    4024   5214.74   4000.04     66.10
    4025   5207.61   3980.82     70.61
    4026   5199.04   3961.28     80.57
    4027   5192.12   4027.53     49.92
    4028   5202.51   4013.70     59.62
    4029   5175.71   4023.31     49.88
    4030   5185.47   4009.88     59.32
    4031   5196.13   3995.85     64.65
    4032   5187.32   3977.58     70.12
    4033   5179.13   3993.05     63.77
    4034   5171.78   4032.65     47.67
    4035   5241.56   3969.50     83.33
    4036   5220.58   3965.15     80.67
    4037   5227.85   3985.05     73.00
    4038   5519.66   3942.92     88.63
    4039   5490.87   3942.46     89.74
    4040   5420.42   4013.85     81.78
    4041   5449.16   4020.27     70.98
    4042   5477.98   4027.76     69.97
    4043   5505.27   4033.39     71.00
    4044   5523.60   4013.46     80.97
    4045   5541.98   3992.58     91.46
    4046   5531.29   3967.64     92.80
    4047   5497.37   4008.33     79.18
    4048   5514.82   3989.10     83.70
    4049   5503.20   3966.17     80.00
    4050   5471.03   3999.87     70.21
    4051   5491.49   3986.40     79.06
    4052   5439.12   3987.94     88.90
    4053   5471.05   3968.53     83.76
    4054   5410.80   3991.29     91.65
    4055   5434.43   4066.53     58.83
    4056   5453.04   4074.29     50.96
    4057   5472.87   4073.89     57.36
    4058   5487.40   4053.63     61.76
    4059   5457.66   4051.07     60.05
    4060   5428.73   4041.12     69.92
    4061   5447.07   4107.75     42.67
    4062   5460.38   4091.82     49.57
    4063   5439.88   4088.13     49.24
    4064   5507.99   3917.77     90.25
    4065   5733.53   4738.41     56.71
    4066   5658.06   4736.15     58.29
    4067   5605.23   4863.91     60.00
    4068   5080.13   4480.46     90.00
    4069   5763.15   4727.70     56.12
    4070   5792.76   4716.99     65.28
    4071   5683.22   4736.91     50.52
    4072   5708.38   4737.66     50.63
    4073   5615.80   4838.36     60.00
    4074   5626.37   4812.81     60.01
    4075   5636.93   4787.26     60.01
    4076   5647.50   4761.71     59.99
    4077   5096.02   4492.07     89.67
    4078   5111.94   4503.69     85.32
    4079   5127.94   4515.38     79.89
    4080   5144.04   4527.13     73.88
    4081   5160.29   4539.00     69.60
    4082   5176.71   4550.99     60.66
    4083   5193.35   4563.14     59.50
    4084   5210.24   4575.48     55.25
    4085   5227.41   4588.02     50.12
    4086   5244.90   4600.79     48.32
    4087   5262.74   4613.81     40.22
    4088   5280.96   4627.12     40.00
    4089   5299.59   4640.72     40.00
    4090   5318.65   4654.64     40.81
    4091   5338.16   4668.88     49.17
    4092   5358.14   4683.47     51.40
    4093   5378.59   4698.41     59.89
    4094   5399.53   4713.70     60.00
    4095   5420.93   4729.33     59.86
    4096   5442.80   4745.29     59.82
    4097   5465.09   4761.57     58.41
    4098   5487.78   4778.14     50.07
    4099   5510.82   4794.97     50.00
    4100   5534.16   4812.01     50.13
    4101   5557.72   4829.21     51.26
    4102   5581.44   4846.53     59.31
    4103   5081.20   4447.30     90.00
    4104   5080.74   4461.67     90.00
    4105   5389.48   4205.52     40.88
    4106   5396.51   4223.85     46.58
    4107   5405.02   4242.36     49.36
    4108   5415.47   4259.06     50.60
    4109   5425.50   4274.96     58.88
    4110   5436.22   4291.92     60.15
    4111   5448.51   4307.08     60.09
    4112   5458.15   4320.44     59.83
    4113   5464.42   4334.32     59.07
    4114   5470.25   4348.38     56.43
    4115   5476.78   4362.46     50.43
    4116   5483.86   4376.52     49.76
    4117   5490.94   4390.64     43.31
    4118   5497.54   4404.96     40.36
    4119   5503.20   4419.71     40.00
    4120   5506.94   4434.25     40.00
    4121   5510.62   4447.53     40.00
    4122   5515.97   4460.29     40.00
    4123   5522.04   4473.32     40.00
    4124   5528.32   4486.31     39.98
    4125   5533.67   4500.21     40.15
    4126   5539.90   4515.84     40.34
    4127   5548.19   4532.24     40.00
    4128   5556.74   4548.66     40.00
    4129   5565.33   4565.00     40.00
    4130   5574.12   4581.13     40.00
    4131   5582.74   4597.03     40.00
    4132   5590.05   4614.07     40.13
    4133   5599.48   4631.76     43.15
    4134   5611.28   4649.73     49.52
    4135   5622.64   4669.55     50.08
    4136   5634.39   4690.31     50.92
    4137   5645.25   4712.54     54.44
    4138   5210.70   4358.37     63.86
    4139   5212.09   4371.13     78.94
    4140   5213.30   4384.17     84.26
    4141   5213.73   4397.82     90.00
    4142   5213.72   4412.06     80.07
    4143   5213.78   4426.86     79.34
    4144   5214.28   4442.39     76.22
    4145   5215.57   4459.09     70.68
    4146   5216.29   4477.36     69.97
    4147   5215.73   4496.53     68.33
    4148   5214.79   4515.87     61.00
    4149   5213.56   4535.48     59.94
    4150   5212.04   4555.35     59.02
    4151   5270.93   4178.70     60.37
    4152   5259.98   4192.82     75.72
    4153   5250.24   4206.49     79.18
    4154   5241.21   4219.89     81.43
    4155   5232.13   4232.79     80.73
    4156   5222.98   4244.83     73.71
    4157   5214.16   4255.93     68.04
    4158   5205.99   4266.19     58.76
    4159   5211.18   4278.56     54.79
    4160   5219.27   4269.10     69.92
    4161   5228.43   4258.86     79.05
    4162   5238.30   4247.58     85.14
    4163   5248.52   4235.03     87.43
    4164   5257.47   4221.50     83.36
    4165   5266.17   4208.63     79.39
    4166   5276.71   4196.54     67.28
    4167   5288.27   4184.58     55.83
    4168   5214.70   4290.80     62.92
    4169   5223.19   4282.15     73.09
    4170   5232.68   4272.93     80.20
    4171   5243.18   4262.78     90.00
    4172   5254.57   4251.19     90.00
    4173   5267.44   4237.20     86.80
    4174   5283.67   4228.67     80.09
    4175   5297.15   4218.79     61.00
    4176   5310.93   4208.00     52.49
    4177   5325.52   4196.35     49.84
    4178   5220.58   4338.55     61.38
    4179   5230.40   4331.34     74.76
    4180   5240.14   4323.98     86.73
    4181   5249.77   4316.55     90.68
    4182   5259.14   4309.00    100.00
    4183   5267.96   4300.15    100.00
    4184   5278.10   4289.93     99.99
    4185   5290.43   4279.75     91.00
    4186   5303.66   4269.90     88.75
    4187   5317.54   4260.29     79.62
    4188   5331.99   4250.82     67.15
    4189   5347.03   4241.48     59.28
    4190   5362.58   4232.27     50.62
    4191   5376.75   4220.48     49.21
    4192   5261.12   4321.16     98.62
    4193   5262.79   4333.49     94.07
    4194   5264.44   4345.82     90.81
    4195   5265.93   4358.45     89.83
    4196   5266.47   4371.72     82.75
    4197   5265.82   4385.72     80.53
    4198   5264.35   4400.10     76.51
    4199   5261.66   4411.96     71.99
    4200   5264.68   4423.94     70.15
    4201   5266.33   4439.02     69.39
    4202   5266.84   4454.76     64.61
    4203   5266.65   4471.34     60.70
    4204   5266.75   4489.10     59.78
    4205   5267.81   4508.25     55.66
    4206   5268.23   4528.86     50.34
    4207   5267.24   4550.08     50.23
    4208   5265.93   4571.20     49.71
    4209   5264.43   4592.41     45.77
    4210   5319.02   4277.00     86.36
    4211   5320.23   4293.23     90.05
    4212   5321.08   4309.01     90.00
    4213   5321.53   4324.45     90.51
    4214   5321.77   4339.93     89.95
    4215   5321.74   4356.06     79.93
    4216   5320.78   4372.69     71.59
    4217   5318.01   4386.39     69.69
    4218   5321.73   4400.02     66.58
    4219   5324.22   4417.29     60.25
    4220   5325.92   4435.18     59.85
    4221   5326.93   4453.21     57.28
    4222   5327.28   4471.12     54.00
    4223   5327.01   4488.82     50.90
    4224   5325.99   4506.52     50.10
    4225   5324.45   4524.92     48.96
    4226   5323.12   4544.57     42.60
    4227   5322.16   4565.30     40.00
    4228   5321.28   4586.70     40.00
    4229   5320.43   4608.61     40.00
    4230   5319.62   4631.17     40.60
    4231   5333.11   4267.84     78.99
    4232   5334.05   4284.48     83.86
    4233   5334.70   4300.76     89.87
    4234   5334.98   4316.64     89.99
    4235   5335.09   4332.02     89.95
    4236   5336.43   4347.66     81.06
    4237   5337.21   4365.34     77.60
    4238   5334.91   4385.86     68.72
    4239   5338.82   4406.02     61.64
    4240   5341.28   4424.75     59.09
    4241   5342.68   4443.50     54.35
    4242   5343.21   4462.15     50.37
    4243   5343.04   4480.51     49.87
    4244   5342.37   4498.59     49.74
    4245   5341.57   4516.79     47.18
    4246   5341.00   4535.68     41.81
    4247   5340.76   4555.71     40.00
    4248   5340.34   4576.90     40.00
    4249   5339.62   4598.66     40.00
    4250   5339.20   4620.83     40.06
    4251   5339.02   4644.07     41.80
    4252   5363.08   4249.95     59.01
    4253   5362.89   4266.90     69.99
    4254   5363.54   4283.68     78.90
    4255   5363.69   4300.71     80.90
    4256   5363.17   4317.69     82.47
    4257   5361.42   4334.80     80.69
    4258   5355.42   4353.94     79.99
    4259   5354.02   4375.80     72.12
    4260   5353.84   4394.74     66.40
    4261   5356.94   4413.46     59.61
    4262   5359.15   4433.02     52.32
    4263   5359.62   4452.67     49.87
    4264   5359.72   4471.89     48.61
    4265   5358.69   4490.46     44.99
    4266   5357.93   4508.43     43.38
    4267   5357.70   4526.60     40.91
    4268   5358.43   4545.45     40.16
    4269   5359.51   4566.38     40.00
    4270   5358.73   4588.64     40.00
    4271   5357.73   4610.26     40.00
    4272   5358.76   4632.18     42.51
    4273   5359.77   4656.74     49.78
    4274   5531.54   4787.00     50.00
    4275   5559.10   4791.92     50.13
    4276   5590.97   4778.30     50.71
    4277   5618.46   4767.05     59.33
    4278   5378.75   4578.54     40.00
    4279   5397.03   4593.07     40.25
    4280   5414.69   4608.46     49.40
    4281   5433.00   4623.41     50.00
    4282   5452.59   4636.90     50.00
    4283   5473.50   4649.01     50.00
    4284   5495.06   4660.28     45.64
    4285   5518.29   4672.96     40.00
    4286   5535.69   4694.54     40.12
    4287   5552.95   4713.64     48.18
    4288   5572.58   4730.49     50.00
    4289   5595.76   4747.71     51.58
    4290   5371.57   4535.33     40.21
    4291   5380.07   4553.00     40.00
    4292   5400.77   4569.02     40.00
    4293   5419.10   4585.16     46.76
    4294   5436.64   4600.40     50.00
    4295   5454.14   4614.12     50.00
    4296   5473.37   4625.09     50.00
    4297   5494.50   4635.86     48.70
    4298   5515.12   4647.68     40.53
    4299   5532.83   4655.49     40.00
    4300   5545.30   4671.03     40.34
    4301   5561.09   4690.21     43.73
    4302   5574.20   4707.98     49.78
    4303   5598.40   4715.87     50.45
    4304   5626.64   4735.72     57.51
    4305   5475.04   4389.46     47.67
    4306   5466.60   4402.06     45.00
    4307   5457.38   4414.39     41.78
    4308   5447.45   4429.01     40.24
    4309   5437.29   4446.56     40.00
    4310   5427.40   4465.34     40.00
    4311   5418.15   4484.09     40.00
    4312   5408.22   4502.08     40.00
    4313   5397.01   4519.73     40.00
    4314   5385.96   4533.70     40.00
    4315   5529.08   4531.24     41.85
    4316   5509.72   4530.89     48.25
    4317   5491.10   4531.33     49.96
    4318   5473.06   4533.04     50.00
    4319   5453.61   4536.27     49.77
    4320   5431.62   4539.59     44.25
    4321   5405.48   4542.53     40.00
    4322   5467.75   4551.33     50.00
    4323   5463.13   4571.96     50.00
    4324   5457.63   4593.09     50.00
    4325   5555.37   4581.20     40.00
    4326   5535.93   4580.89     41.36
    4327   5519.07   4578.37     47.10
    4328   5501.39   4583.83     49.81
    4329   5478.97   4588.03     50.00
    4330   5471.60   4605.83     50.00
    4331   5564.83   4597.23     40.00
    4332   5545.44   4598.31     40.00
    4333   5521.33   4598.81     44.36
    4334   5493.89   4608.82     49.98
    4335   5516.06   4624.26     43.35
    4336   5573.71   4611.17     40.00
    4337   5557.61   4614.50     40.00
    4338   5537.53   4617.20     40.03
    4339   5533.96   4637.21     40.39
    4340   5550.78   4630.10     40.00
    4341   5551.45   4648.55     40.00
    4342   5573.33   4633.02     40.06
    4343   5572.47   4664.42     41.42
    4344   5599.01   4668.91     49.77
    4345   5585.96   4689.66     49.79
    4346   5610.57   4690.55     50.22
    4347   5623.05   4709.00     51.73
    4348   5591.11   4649.57     43.83
    4349   5546.52   4564.64     40.69
    4350   5537.87   4548.07     42.09
    4351   5527.85   4563.99     45.18
    4352   5518.85   4547.65     47.63
    4353   5508.85   4564.31     49.56
    4354   5499.71   4547.40     49.98
    4355   5483.56   4545.55     50.00
    4356   5486.19   4564.63     50.00
    4357   5441.27   4578.16     50.00
    4358   5446.93   4556.52     49.95
    4359   5424.20   4561.83     44.54
    4360   5461.49   4517.62     46.79
    4361   5470.42   4500.03     41.60
    4362   5480.32   4483.37     40.00
    4363   5491.29   4469.61     40.00
    4364   5501.60   4458.32     40.00
    4365   5481.88   4403.23     41.87
    4366   5496.42   4444.83     40.00
    4367   5492.20   4430.81     40.00
    4368   5487.95   4416.83     40.01
    4369   5440.81   4519.47     41.43
    4370   5450.20   4500.76     40.28
    4371   5460.26   4482.53     40.00
    4372   5472.39   4463.41     40.00
    4373   5488.15   4455.70     40.00
    4374   5473.22   4415.39     40.21
    4375   5465.88   4428.97     40.09
    4376   5458.53   4445.79     40.00
    4377   5449.15   4464.47     40.00
    4378   5439.06   4483.16     40.00
    4379   5429.19   4501.74     40.28
    4380   5418.72   4520.86     40.03
    4381   5479.66   4426.87     40.00
    4382   5479.03   4442.34     40.00
    4383   5520.54   4496.74     40.18
    4384   5506.92   4499.07     40.48
    4385   5489.39   4499.74     41.50
    4386   5480.85   4516.13     48.12
    4387   5519.93   4512.71     41.49
    4388   5499.65   4514.98     44.76
    4389   5498.15   4484.86     40.00
    4390   5513.85   4485.38     40.00
    4391   5507.15   4471.96     40.00
    4392   5375.68   4517.90     40.00
    4393   5388.04   4501.29     40.00
    4394   5398.20   4484.73     40.00
    4395   5406.87   4467.47     40.00
    4396   5413.89   4446.26     40.80
    4397   5427.32   4428.48     43.89
    4398   5438.33   4409.82     48.08
    4399   5442.60   4390.25     50.17
    4400   5450.77   4374.57     50.82
    4401   5460.70   4360.90     53.20
    4402   5443.88   4358.43     59.42
    4403   5439.68   4342.30     60.46
    4404   5437.41   4328.88     62.23
    4405   5427.90   4314.27     67.84
    4406   5413.68   4292.89     69.55
    4407   5408.77   4274.32     60.23
    4408   5394.40   4261.88     59.41
    4409   5382.07   4241.38     50.55
    4410   5394.81   4282.78     70.61
    4411   5378.96   4292.06     79.74
    4412   5425.32   4335.15     65.94
    4413   5410.26   4345.41     68.52
    4414   5394.00   4356.25     69.27
    4415   5375.30   4368.97     70.12
    4416   5426.91   4353.16     60.63
    4417   5411.91   4364.12     62.60
    4418   5396.70   4375.76     62.80
    4419   5383.25   4388.74     62.40
    4420   5370.94   4401.37     60.85
    4421   5430.45   4373.54     58.12
    4422   5413.13   4380.59     59.97
    4423   5402.63   4395.85     59.20
    4424   5386.51   4404.52     60.05
    4425   5377.63   4420.81     55.28
    4426   5376.21   4462.49     46.19
    4427   5390.40   4470.35     40.46
    4428   5393.18   4454.01     42.10
    4429   5376.79   4442.92     49.92
    4430   5398.11   4415.83     51.95
    4431   5394.97   4434.54     50.15
    4432   5416.76   4411.84     50.03
    4433   5423.98   4393.65     52.61
    4434   5410.21   4427.39     49.01
    4435   5377.55   4483.06     40.44
    4436   5371.58   4500.23     40.24
    4437   5367.47   4385.93     68.96
    4438   5377.81   4327.35     79.90
    4439   5393.65   4336.84     70.86
    4440   5378.67   4309.63     80.00
    4441   5393.75   4318.78     75.14
    4442   5409.80   4326.87     70.10
    4443   5394.64   4301.15     77.15
    4444   5407.95   4310.79     70.51
    4445   5376.27   4346.36     76.81
    4446   5378.46   4274.37     69.88
    4447   5376.18   4258.90     59.94
    4448   5449.80   4332.10     60.00
    4449   5444.35   4320.55     60.95
    4450   5454.79   4346.07     59.66
    4451   5459.26   4388.81     49.54
    4452   5467.74   4375.45     50.06
    4453   5452.84   4401.07     47.04
    4454   5409.87   4632.62     49.95
    4455   5405.87   4658.79     51.77
    4456   5403.02   4686.22     58.38
    4457   5430.08   4647.94     50.00
    4458   5427.70   4674.14     52.79
    4459   5425.02   4701.50     58.54
    4460   5451.44   4661.79     50.62
    4461   5450.77   4688.61     50.60
    4462   5448.17   4717.01     56.27
    4463   5513.83   4770.63     50.00
    4464   5520.09   4745.53     50.00
    4465   5527.39   4719.69     42.81
    4466   5478.28   4703.07     49.42
    4467   5499.83   4725.81     47.90
    4468   5474.00   4674.13     49.90
    4469   5509.07   4699.68     40.23
    4470   5494.94   4682.03     42.74
    4471   5471.19   4734.24     51.03
    4472   5492.97   4752.65     49.92
    4473   5546.72   4738.94     49.56
    4474   5539.80   4765.47     50.00
    4475   5567.49   4758.81     50.00
    4476   5381.42   4670.78     51.46
    4477   5383.12   4641.05     49.72
    4478   5376.40   4601.12     40.00
    4479   5373.70   4620.14     40.97
    4480   5392.47   4616.08     44.17
    4481   5592.05   4812.68     58.53
    4482   5612.96   4791.62     59.84
    4483   5348.88   4292.36     82.07
    4484   5348.98   4308.82     87.66
    4485   5348.50   4324.77     88.07
    4486   5347.37   4338.64     83.62
    4487   5348.37   4275.67     78.83
    4488   5347.75   4258.78     66.93
    4489   5306.49   4394.25     69.66
    4490   5292.52   4386.78     70.93
    4491   5279.06   4378.96     79.07
    4492   5282.04   4480.03     59.91
    4493   5297.24   4487.95     56.31
    4494   5311.51   4496.52     51.27
    4495   5296.74   4471.18     59.95
    4496   5296.12   4454.12     60.50
    4497   5295.07   4437.04     63.66
    4498   5293.51   4419.86     69.31
    4499   5292.56   4402.90     70.09
    4500   5281.55   4462.95     60.63
    4501   5278.45   4394.38     74.92
    4502   5280.90   4446.26     64.96
    4503   5279.48   4429.66     69.50
    4504   5276.38   4411.83     70.34
    4505   5310.88   4444.89     60.05
    4506   5311.64   4462.36     59.80
    4507   5311.90   4479.66     54.75
    4508   5309.60   4427.43     61.71
    4509   5308.02   4410.29     67.83
    4510   5305.99   4532.47     48.86
    4511   5288.41   4517.73     50.03
    4512   5300.85   4618.16     40.00
    4513   5282.47   4605.21     40.00
    4514   5302.00   4596.15     40.00
    4515   5303.14   4574.56     40.17
    4516   5304.36   4553.33     41.54
    4517   5283.86   4583.63     41.66
    4518   5285.18   4562.26     48.16
    4519   5286.57   4540.79     49.57
    4520   5283.36   4497.62     54.28
    4521   5309.04   4513.47     50.03
    4522   5297.91   4502.66     51.25
    4523   5308.04   4317.06     96.08
    4524   5295.62   4324.66     97.57
    4525   5284.23   4331.44     96.71
    4526   5274.18   4338.32     94.63
    4527   5308.30   4332.02     90.68
    4528   5295.29   4338.67     90.34
    4529   5284.38   4342.58     90.22
    4530   5276.54   4350.54     89.94
    4531   5306.16   4379.09     70.37
    4532   5306.73   4363.36     78.33
    4533   5307.58   4347.33     87.92
    4534   5291.66   4353.95     81.93
    4535   5278.69   4364.11     80.23
    4536   5292.47   4371.04     77.58
    4537   5272.74   4326.00     99.98
    4538   5283.24   4318.37    100.00
    4539   5294.68   4310.34     99.78
    4540   5307.07   4301.88     95.43
    4541   5270.91   4313.21    100.00
    4542   5281.29   4304.58    100.00
    4543   5292.85   4295.45     98.91
    4544   5305.54   4286.20     90.32
    4545   5252.72   4432.51     70.14
    4546   5239.68   4426.15     72.35
    4547   5226.69   4419.33     78.98
    4548   5252.23   4462.02     66.98
    4549   5241.88   4453.08     69.63
    4550   5228.97   4449.29     70.09
    4551   5229.21   4567.46     51.52
    4552   5248.18   4559.00     51.02
